team_name,team_number
Rogue.mix,1166
1337HUANIA,1167
Agressive,1168
Blackwoodproductions,1169
Refuse,1170
ex-Spartak,1171
Operation Kino,1172
Tribo Fu,1173
LDLC fe,1174
D13,1175
Vyalie Pitoni,1176
SMASH,1177
LDLC Blue,1178
TamuluS,1179
Nova,1180
Eclipse,1181
Cloud9,1182
Master Grade,1183
Gambit Youngsters,1184
1944,1185
ShotCallers,1186
Ex-Rejected,1187
Dark Sided,1188
Demolition Crew,1189
GlockWork,1190
Runtime,1191
paiN fe,1192
Epiphany Bolt,1193
Stepback,1194
HoP,1195
PUR$i$EURA,1196
WySix,1197
G2V,1198
FlipSid3,1199
xoxo,1200
Keymotion,1201
Dignitas,1202
Andrew's Big Toe,1203
Dawn of Stars,1204
The Foundation,1205
Born Of Fire,1206
Keyd fe,1207
Spot Up,1208
Divine Soldiers,1209
auRa,1210
IMBA.SAS,1211
Endpoint,1212
INTZ,1213
ZOOWEEMAMA,1214
Ripple,1215
Gamdias,1216
ex-AVANT,1217
Goodfellas,1218
carboN,1219
Penn State,1220
Secret,1221
Project X,1222
Dethrone,1223
Flash,1224
Dracarys,1225
ex-Singularity,1226
Neverest,1227
GAMERZONE,1228
WinOut,1229
Furious,1230
gloryUS,1231
VITALIS,1232
Black Label Society,1233
Gen.G,1234
Galactica,1235
AC-130,1236
Lowkey,1237
Crowns,1238
E-frag.net,1239
Tempo Storm,1240
Vatos Locos,1241
ex-g3x,1242
BRIEF,1243
20matar,1244
HellRaisers,1245
Reform,1246
Impact,1247
FriendlyFire,1248
ETHEREAL,1249
WORTEX,1250
deadweight,1251
ex-Bizarre,1252
NOM,1253
Black Horus,1254
dreamWorse,1255
London,1256
devils.one,1257
Masterminds,1258
ELTZ,1259
ttc,1260
OFFSET,1261
GTV.Revolution,1262
BOOM,1263
Funky Monkeys,1264
Gorilla Gang,1265
Adaptation,1266
Shot,1267
5cent,1268
G2,1269
Devious ,1270
ENCE,1271
FRENCH CANADIANS,1272
NiceShot,1273
rTE,1274
RuSh3D,1275
Game4Glory,1276
FeelsUnderAgeMan,1277
Royal,1278
zARLANS,1279
cokeline,1280
Thailand,1281
TRIDENT,1282
Ground Zero,1283
Nice,1284
Surge,1285
LEOPARD,1286
Esper,1287
eEriness,1288
AVANT,1289
Duck Nutz,1290
KlikTech,1291
Scotty's Scooter,1292
SG.pro,1293
TRIDENT Storm,1294
fruits,1295
lapw,1296
eSuba,1297
Bojestvata,1298
MbI MuKC,1299
Winterfox,1300
Rogue Academy,1301
Brazen,1302
Andes,1303
Ghost Academy,1304
Assault Team,1305
Sinister5,1306
Drawn to Fulfillment,1307
Say No More,1308
m0nster,1309
Riotous Raccoons,1310
Anunnaki,1311
Property,1312
China,1313
Leapfrog,1314
AGG,1315
Rooster,1316
Slovakia,1317
Dignitas fe,1318
Empire,1319
FiveG,1320
FURIA Inagame,1321
Darayu Delta Squad,1322
EHOME,1323
Naventic,1324
Think Outside the Box,1325
Tortues Ninja,1326
Emprox,1327
Squirtle Squad,1328
glassysky,1329
Predator,1330
ex-CPH Wolves,1331
Bren,1332
LunatiK,1333
GoldenMix,1334
Quantum Bellator Fire,1335
nxl,1336
Most Wanted,1337
Space Academy,1338
Vault,1339
GD,1340
Mazaalai,1341
Netland,1342
GODSENT,1343
ex-Findictus,1344
Fragsters,1345
Lemondogs,1346
Hyper,1347
fakemaquinas,1348
Ghost,1349
MFC,1350
Ignis,1351
m0nster white,1352
LFAO,1353
SpaceStress,1354
WG,1355
Finest,1356
?,1357
Pompa Academy,1358
OwmS,1359
PENSIONERS+2,1360
PANTERS,1361
raregods,1362
Rysix,1363
Vikings.Vortex,1364
fnatic,1365
Blank,1366
ex-DarkPassage,1367
Brutalis,1368
JAM,1369
Big Frames,1370
iNTRO,1371
DIVIZON,1372
CLG Green,1373
TzatzikiKlubben,1374
Kryvbas,1375
Riot Squad,1376
Faint,1377
Team peacemaker,1378
Very1z,1379
Chosen5,1380
Candy Camel,1381
MAD Lions,1382
Mentality,1383
The Mad Lads,1384
